,indicator,Year,Sex,Race/Ethnicity,Value,Place,95pc_con_lvl-low,95pc_con_lvl-high
1468,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,149.9,"San Francisco, CA",145.3,154.6
1469,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,156.7,"Seattle, WA",146.5,167.6
1470,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,159.9,"San Antonio, TX",153.5,166.4
1474,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,169.3,"Las Vegas (Clark County), NV",163.2,175.3
1476,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,172.2,"Oakland (Alameda County), CA",158.9,185.5
1480,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,185.1,"Indianapolis (Marion County), IN",175.9,194.6
1484,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,196.9,"Columbus, OH",184.6,209.1
1485,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,204.8,"Philadelphia, PA",197.7,212.0
1492,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,89.9,"Seattle, WA",71.0,113.9
1493,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,97.8,"Philadelphia, PA",87.4,140.3
1494,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,101.7,"San Antonio, TX",66.4,149.0
1498,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,110.1,"Las Vegas (Clark County), NV",94.0,126.2
1500,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,131.1,"San Francisco, CA",124.5,138.2
1502,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,153.7,"Oakland (Alameda County), CA",127.6,179.7
1507,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,176.7,"San Antonio, TX",149.8,203.5
1509,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,196.1,"Las Vegas (Clark County), NV",173.9,218.3
1512,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,207.7,"Columbus, OH",182.8,232.7
1514,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,209.5,"San Francisco, CA",189.2,231.6
1519,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,222.1,"Indianapolis (Marion County), IN",200.6,245.4
1520,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,224.2,"Seattle, WA",180.3,276.3
1522,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,226.0,"Oakland (Alameda County), CA",199.1,252.9
