,indicator,year,sex,race_ethnicity,value,place,95pc_con_lvl-low,95pc_con_lvl-high
4136,"Asthma Emergency Department Visit Rate (Age-Adjusted; Per 10,000)",2010,Both,All,99.4,"Chicago, Il",98.1,100.6
4137,"Asthma Emergency Department Visit Rate (Age-Adjusted; Per 10,000)",2010,Both,All,109.0,"Las Vegas (Clark County), NV",107.5,110.5
4139,"Asthma Emergency Department Visit Rate (Age-Adjusted; Per 10,000)",2010,Both,Asian/PI,12.9,"Chicago, Il",10.8,15.1
4141,"Asthma Emergency Department Visit Rate (Age-Adjusted; Per 10,000)",2010,Both,Asian/PI,47.4,"Las Vegas (Clark County), NV",44.0,50.7
4143,"Asthma Emergency Department Visit Rate (Age-Adjusted; Per 10,000)",2010,Both,Black,226.9,"Chicago, Il",223.6,230.1
4145,"Asthma Emergency Department Visit Rate (Age-Adjusted; Per 10,000)",2010,Both,Black,285.6,"Las Vegas (Clark County), NV",278.2,293.0
4147,"Asthma Emergency Department Visit Rate (Age-Adjusted; Per 10,000)",2010,Both,Hispanic,48.9,"Chicago, Il",47.3,50.5
4148,"Asthma Emergency Department Visit Rate (Age-Adjusted; Per 10,000)",2010,Both,Hispanic,67.8,"Las Vegas (Clark County), NV",65.8,69.9
4151,"Asthma Emergency Department Visit Rate (Age-Adjusted; Per 10,000)",2010,Both,Other,102.8,"Las Vegas (Clark County), NV",95.4,110.1
4152,"Asthma Emergency Department Visit Rate (Age-Adjusted; Per 10,000)",2010,Both,White,23.6,"Chicago, Il",22.4,24.9
4155,"Asthma Emergency Department Visit Rate (Age-Adjusted; Per 10,000)",2010,Both,White,110.7,"Las Vegas (Clark County), NV",108.5,112.9
4156,"Asthma Emergency Department Visit Rate (Age-Adjusted; Per 10,000)",2010,Female,All,94.8,"Chicago, Il",93.1,96.5
4159,"Asthma Emergency Department Visit Rate (Age-Adjusted; Per 10,000)",2010,Female,All,131.5,"Las Vegas (Clark County), NV",129.2,133.8
4160,"Asthma Emergency Department Visit Rate (Age-Adjusted; Per 10,000)",2010,Male,All,86.9,"Las Vegas (Clark County), NV",85.1,88.8
4161,"Asthma Emergency Department Visit Rate (Age-Adjusted; Per 10,000)",2010,Male,All,103.5,"Chicago, Il",101.7,105.2
4168,"Asthma Emergency Department Visit Rate (Age-Adjusted; Per 10,000)",2011,Both,All,108.3,"Chicago, Il",107.0,109.6
4169,"Asthma Emergency Department Visit Rate (Age-Adjusted; Per 10,000)",2011,Both,All,111.5,"Las Vegas (Clark County), NV",110.0,113.0
4171,"Asthma Emergency Department Visit Rate (Age-Adjusted; Per 10,000)",2011,Both,Asian/PI,12.9,"Chicago, Il",10.8,15.1
4175,"Asthma Emergency Department Visit Rate (Age-Adjusted; Per 10,000)",2011,Both,Asian/PI,47.9,"Las Vegas (Clark County), NV",44.6,51.3
