,indicator,year,sex,race_ethnicity,value,place,95pc_con_lvl-low,95pc_con_lvl-high
18078,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2010,Both,All,59.9,"Charlotte, NC",51.3,68.5
18081,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2010,Both,All,73.0,"Seattle, WA",65.0,80.0
18084,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2010,Both,Asian/PI,72.0,"Seattle, WA",37.0,91.0
18087,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2010,Both,Black,54.2,"Charlotte, NC",34.5,74.4
18088,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2010,Both,Black,55.0,"Seattle, WA",26.0,81.0
18097,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2010,Both,White,66.2,"Charlotte, NC",57.4,74.9
18098,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2010,Both,White,77.0,"Seattle, WA",69.0,84.0
18102,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2010,Female,All,70.1,"Charlotte, NC",60.9,79.4
18103,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2010,Female,All,79.0,"Seattle, WA",69.0,87.0
18104,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2010,Male,All,41.7,"Charlotte, NC",26.1,57.2
18106,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2010,Male,All,64.0,"Seattle, WA",52.0,74.0
18110,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Both,All,60.6,"Detroit, MI",50.6,69.8
18114,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Both,All,63.9,"Houston, TX",58.5,68.9
18115,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Both,All,65.1,"Charlotte, NC",56.6,73.6
18117,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Both,All,67.7,"Columbus, OH",54.0,81.4
18118,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Both,All,68.5,"Las Vegas (Clark County), NV",61.8,75.1
18119,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Both,All,70.1,"San Antonio, TX",62.7,76.5
18124,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Both,All,77.2,"Fort Worth (Tarrant County), TX",70.3,84.0
18128,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Both,Asian/PI,83.3,"Las Vegas (Clark County), NV",65.1,100.0
18131,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Both,Black,52.4,"Houston, TX",35.9,68.5
18132,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Both,Black,55.2,"Detroit, MI",45.2,64.8
18133,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Both,Black,56.8,"Charlotte, NC",33.1,78.5
18138,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Both,Black,74.9,"Las Vegas (Clark County), NV",57.6,92.2
18143,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Both,Hispanic,43.7,"Las Vegas (Clark County), NV",19.4,67.9
18146,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Both,Hispanic,52.0,"Houston, TX",35.3,68.3
18147,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Both,Hispanic,55.7,"San Antonio, TX",42.2,68.4
18150,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Both,Other,80.8,"Las Vegas (Clark County), NV",57.1,100.0
18155,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Both,White,68.3,"Charlotte, NC",59.4,77.3
18156,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Both,White,69.3,"Houston, TX",63.8,74.3
18158,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Both,White,71.5,"Las Vegas (Clark County), NV",64.8,78.2
