,indicator,year,sex,race_ethnicity,value,place,95pc_con_lvl-low,95pc_con_lvl-high
21158,"Firearm-Related Emergency Department Visit Rate (Age-Adjusted; Per 10,000 people)",2010,Both,All,1.2,"Las Vegas (Clark County), NV",1.0,1.3
21161,"Firearm-Related Emergency Department Visit Rate (Age-Adjusted; Per 10,000 people)",2010,Both,All,4.7,"Chicago, Il",4.5,5.0
21163,"Firearm-Related Emergency Department Visit Rate (Age-Adjusted; Per 10,000 people)",2010,Both,Asian/PI,0.2,"Las Vegas (Clark County), NV",0.0,0.3
21164,"Firearm-Related Emergency Department Visit Rate (Age-Adjusted; Per 10,000 people)",2010,Both,Asian/PI,0.3,"Chicago, Il",0.0,0.6
21166,"Firearm-Related Emergency Department Visit Rate (Age-Adjusted; Per 10,000 people)",2010,Both,Black,3.1,"Las Vegas (Clark County), NV",2.4,3.8
21168,"Firearm-Related Emergency Department Visit Rate (Age-Adjusted; Per 10,000 people)",2010,Both,Black,12.2,"Chicago, Il",11.5,12.9
21170,"Firearm-Related Emergency Department Visit Rate (Age-Adjusted; Per 10,000 people)",2010,Both,Hispanic,1.0,"Las Vegas (Clark County), NV",0.7,1.3
21171,"Firearm-Related Emergency Department Visit Rate (Age-Adjusted; Per 10,000 people)",2010,Both,Hispanic,2.5,"Chicago, Il",2.1,2.8
21173,"Firearm-Related Emergency Department Visit Rate (Age-Adjusted; Per 10,000 people)",2010,Both,Other,0.8,"Las Vegas (Clark County), NV",0.2,1.5
21175,"Firearm-Related Emergency Department Visit Rate (Age-Adjusted; Per 10,000 people)",2010,Both,White,0.3,"Chicago, Il",0.2,0.5
21176,"Firearm-Related Emergency Department Visit Rate (Age-Adjusted; Per 10,000 people)",2010,Both,White,1.0,"Las Vegas (Clark County), NV",0.8,1.2
21179,"Firearm-Related Emergency Department Visit Rate (Age-Adjusted; Per 10,000 people)",2010,Female,All,0.3,"Las Vegas (Clark County), NV",0.2,0.4
21181,"Firearm-Related Emergency Department Visit Rate (Age-Adjusted; Per 10,000 people)",2010,Female,All,0.9,"Chicago, Il",0.8,1.1
21184,"Firearm-Related Emergency Department Visit Rate (Age-Adjusted; Per 10,000 people)",2010,Male,All,2.0,"Las Vegas (Clark County), NV",1.7,2.3
21187,"Firearm-Related Emergency Department Visit Rate (Age-Adjusted; Per 10,000 people)",2010,Male,All,8.6,"Chicago, Il",8.1,9.1
21191,"Firearm-Related Emergency Department Visit Rate (Age-Adjusted; Per 10,000 people)",2011,Both,All,1.1,"Las Vegas (Clark County), NV",1.0,1.3
21193,"Firearm-Related Emergency Department Visit Rate (Age-Adjusted; Per 10,000 people)",2011,Both,All,4.5,"Chicago, Il",4.2,4.7
