,indicator,year,sex,race_ethnicity,value,place,95pc_con_lvl-low,95pc_con_lvl-high
24934,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,583.3,"San Francisco, CA",574.3,592.4
24935,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,606.0,"Seattle, WA",586.2,626.3
24936,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,630.1,"San Diego County, CA",621.1,639.1
24937,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,673.5,"Oakland (Alameda County), CA",647.4,699.6
24939,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,751.0,"San Antonio, TX",736.9,765.0
24941,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,777.0,"Las Vegas (Clark County), NV",763.7,790.3
24943,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,803.7,"Indianapolis (Marion County), IN",784.5,823.3
24945,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,883.6,"Philadelphia, PA",868.9,898.3
24946,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,918.6,"Columbus, OH",892.4,944.9
24948,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,American Indian/Alaska Native,771.4,"San Diego County, CA",615.5,927.2
24951,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,346.0,"San Antonio, TX",272.6,433.0
24953,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,407.8,"Seattle, WA",367.0,453.3
24955,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,444.0,"Oakland (Alameda County), CA",400.3,487.6
24956,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,445.8,"San Diego County, CA",421.0,470.7
24957,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,446.3,"San Francisco, CA",434.1,458.9
24958,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,469.1,"Las Vegas (Clark County), NV",432.9,505.3
24959,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,477.6,"Philadelphia, PA",420.8,534.5
24961,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,570.4,"Columbus, OH",405.6,779.8
24965,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,814.7,"San Diego County, CA",758.3,871.1
24966,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,847.9,"San Antonio, TX",788.1,907.7
24967,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,886.2,"Las Vegas (Clark County), NV",838.1,934.4
24968,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,906.3,"Indianapolis (Marion County), IN",862.1,952.3
24969,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,907.6,"Seattle, WA",816.8,1006.5
24970,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,958.0,"Columbus, OH",904.6,1011.3
24973,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,996.1,"Oakland (Alameda County), CA",939.1,1053.2
24975,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,1028.3,"Philadelphia, PA",1003.2,1053.5
24976,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,1041.3,"San Francisco, CA",994.9,1089.8
24977,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,353.8,"Columbus, OH",256.1,476.6
24981,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,500.5,"Oakland (Alameda County), CA",422.7,578.3
24982,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,508.2,"Las Vegas (Clark County), NV",478.4,538.0
24983,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,515.1,"Seattle, WA",393.4,666.0
24984,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,522.3,"San Diego County, CA",501.4,543.3
24985,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,542.5,"San Francisco, CA",515.2,571.0
24986,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,614.5,"Philadelphia, PA",565.0,664.0
24987,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,718.4,"San Antonio, TX",697.6,739.3
24991,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Other,154.9,"Las Vegas (Clark County), NV",111.9,197.8
24993,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Other,284.8,"Oakland (Alameda County), CA",189.2,411.6
24994,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Other,333.6,"Seattle, WA",212.0,514.9
24996,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Other,485.1,"San Antonio, TX",292.0,757.5
24998,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,609.2,"Seattle, WA",586.0,633.4
24999,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,616.4,"Oakland (Alameda County), CA",571.0,661.8
25000,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,628.9,"San Francisco, CA",614.6,643.7
25001,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,669.8,"San Diego County, CA",658.5,681.0
25006,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,772.5,"San Antonio, TX",751.5,793.6
25007,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,795.4,"Indianapolis (Marion County), IN",773.3,818.2
25008,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,864.4,"Philadelphia, PA",844.2,884.6
25009,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,868.6,"Las Vegas (Clark County), NV",851.5,885.6
25010,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,940.5,"Columbus, OH",908.3,972.6
25012,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,470.3,"San Francisco, CA",459.7,481.2
25013,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,514.4,"Seattle, WA",490.6,539.4
25014,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,542.6,"San Diego County, CA",531.6,553.6
25015,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,551.4,"Oakland (Alameda County), CA",520.5,582.4
25018,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,634.6,"San Antonio, TX",617.7,651.5
25020,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,663.9,"Las Vegas (Clark County), NV",647.1,680.8
25021,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,683.9,"Indianapolis (Marion County), IN",661.0,707.5
25023,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,716.4,"Philadelphia, PA",699.5,733.3
25024,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,783.4,"Columbus, OH",751.8,815.0
25026,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,711.7,"San Francisco, CA",696.7,727.1
25027,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,723.6,"Seattle, WA",689.9,758.7
25028,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,737.6,"San Diego County, CA",722.8,752.5
25029,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,833.4,"Oakland (Alameda County), CA",788.0,878.8
25031,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,899.9,"San Antonio, TX",875.8,924.0
25032,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,901.1,"Las Vegas (Clark County), NV",880.2,922.0
25036,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,961.7,"Indianapolis (Marion County), IN",928.5,995.9
25038,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,1102.0,"Columbus, OH",1056.1,1148.0
25039,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,1110.5,"Philadelphia, PA",1084.3,1136.6
25044,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,628.8,"San Diego County, CA",619.9,637.6
25048,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,738.3,"San Antonio, TX",724.6,752.0
25049,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,752.1,"Portland (Multnomah County), OR",731.6,772.6
25053,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,797.6,"Indianapolis (Marion County), IN",778.5,817.0
25054,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,805.1,"Las Vegas (Clark County), NV",791.5,818.6
25057,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,938.6,"Columbus, OH",912.1,965.2
25060,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,American Indian/Alaska Native,534.3,"Portland (Multnomah County), OR",345.8,788.8
